USB Serial Initialized
Ticks, Kd, Kp, V, Pr, Pm, T
1185, 0, 25, 0, 0, 0, 0
1186, 0, 25, 0, 0, 0, 0
1187, 0, 25, 0, 0, 0, 0
1188, 0, 25, 0, 0, 0, 0
1189, 0, 25, 0, 0, 0, 0
1190, 0, 25, 0, 0, 0, 0
1191, 0, 25, 0, 0, 0, 0
1192, 0, 25, 0, 0, 0, 0
1193, 0, 25, 0, 1, 0, 25
1194, 0, 25, 0, 1, 0, 25
1195, 0, 25, 0, 1, 1, 25
1196, 0, 25, -1, 1, 1, 0
1197, 0, 25, 0, 1, 1, 0
1198, 0, 25, 0, 1, 1, 0
1199, 0, 25, 0, 1, 1, 0
1200, 0, 25, 0, 1, 1, 0
1201, 0, 25, 0, 1, 1, 0
1202, 0, 25, 0, 1, 1, 0
1203, 0, 25, 0, 1, 1, 0
1204, 0, 25, 0, 1, 1, 0
1205, 0, 25, 0, 1, 1, 0
1206, 0, 25, 0, 1, 1, 0
1207, 0, 25, 0, 1, 1, 0
1208, 0, 25, 0, 1, 1, 0
1209, 0, 25, 0, 1, 1, 0
1210, 0, 25, 0, 1, 1, 0
1211, 0, 25, 0, 1, 1, 0
1212, 0, 25, 0, 1, 1, 0
1213, 0, 25, 0, 1, 1, 0
1214, 0, 25, 0, 1, 1, 0
1215, 0, 25, 0, 1, 1, 0
1216, 0, 25, 0, 1, 1, 0
1217, 0, 25, 1, 2, 2, 0
1218, 0, 25, 0, 2, 2, 0
1219, 0, 25, 0, 2, 2, 0
1220, 0, 25, 0, 2, 2, 0
1221, 0, 25, 0, 2, 2, 0
1222, 0, 25, 0, 2, 2, 0
1223, 0, 25, 0, 2, 2, 0
1224, 0, 25, 0, 2, 2, 0
1225, 0, 25, 0, 2, 2, 0
1226, 0, 25, 0, 2, 2, 0
1227, 0, 25, 0, 2, 2, 0
1228, 0, 25, 0, 2, 2, 0
1229, 0, 25, 0, 2, 2, 0
1230, 0, 25, 0, 2, 2, 0
1231, 0, 25, 0, 2, 2, 0
1232, 0, 25, 0, 2, 2, 0
1233, 0, 25, 0, 3, 2, 25
1234, 0, 25, 0, 3, 2, 25
1235, 0, 25, 0, 3, 2, 25
1236, 0, 25, 0, 3, 3, 0
1237, 0, 25, 0, 3, 3, 0
1238, 0, 25, 0, 3, 3, 0
1239, 0, 25, 0, 3, 3, 0
1240, 0, 25, 0, 3, 3, 0
1241, 0, 25, 0, 3, 3, 0
1242, 0, 25, 0, 3, 3, 0
1243, 0, 25, 0, 3, 3, 0
1244, 0, 25, 0, 3, 3, 0
1245, 0, 25, 0, 3, 3, 0
1246, 0, 25, 0, 3, 3, 0
1247, 0, 25, 0, 3, 3, 0
1248, 0, 25, 0, 3, 3, 0
1249, 0, 25, 0, 3, 3, 0
1250, 0, 25, 0, 3, 3, 0
1251, 0, 25, 0, 3, 3, 0
1252, 0, 25, 0, 2, 3, -25
1253, 0, 25, 0, 2, 2, 0
