USB Serial Initialized
Ticks, Kd, Kp, V, Pr, Pm, T
657, 2, 25, 0, 912, 912, 8
658, 2, 25, 0, 912, 912, 0
659, 2, 25, 0, 912, 912, 0
660, 2, 25, 0, 912, 912, 0
661, 2, 25, 0, 912, 912, 0
662, 2, 25, 0, 912, 912, 0
663, 2, 25, 0, 912, 912, 0
664, 2, 25, 0, 912, 912, 0
665, 2, 25, 0, 912, 912, 0
666, 2, 25, 0, 912, 912, 0
667, 2, 25, 0, 912, 912, 0
668, 2, 25, 0, 912, 912, 0
669, 2, 25, 0, 912, 912, 0
670, 2, 25, 0, 912, 912, 0
671, 2, 25, 0, 912, 912, 0
672, 2, 25, 0, 912, 912, 0
673, 2, 25, 0, 912, 912, 0
674, 2, 25, 0, 912, 912, 0
675, 2, 25, 0, 912, 912, 0
676, 2, 25, 0, 912, 912, 0
677, 2, 25, 0, 912, 912, 0
678, 2, 25, 0, 912, 912, 0
679, 2, 25, -4, 784, 907, -1250
680, 2, 25, -6, 784, 898, -1242
681, 2, 25, -5, 784, 888, -1242
682, 2, 25, -5, 784, 878, -1240
683, 2, 25, -6, 784, 868, -1240
684, 2, 25, -5, 784, 858, -1242
685, 2, 25, -5, 784, 848, -1240
686, 2, 25, -5, 784, 838, -1240
687, 2, 25, -5, 784, 828, -1115
688, 2, 25, -5, 784, 818, -865
689, 2, 25, -5, 784, 808, -615
690, 2, 25, -5, 784, 798, -365
691, 2, 25, -4, 784, 788, -140
692, 2, 25, -2, 784, 784, 8
693, 2, 25, 1, 784, 784, 2
694, 2, 25, 0, 784, 784, 0
695, 2, 25, 0, 784, 784, 0
696, 2, 25, 0, 784, 784, 0
697, 2, 25, 0, 784, 784, 0
698, 2, 25, 0, 784, 784, 0
699, 2, 25, 0, 784, 784, 0
700, 2, 25, 0, 784, 784, 0
701, 2, 25, 0, 784, 784, 0
702, 2, 25, 0, 784, 784, 0
703, 2, 25, 0, 784, 784, 0
704, 2, 25, 0, 784, 784, 0
705, 2, 25, 0, 784, 784, 0
706, 2, 25, 0, 784, 784, 0
707, 2, 25, 0, 784, 784, 0
708, 2, 25, 0, 784, 784, 0
709, 2, 25, 0, 784, 784, 0


