Ticks, Kd, Kp, V, Pr, Pm, T
1158, 0, 105, 2, 450, 406, 4620
1159, 0, 105, 0, 450, 406, 4620
1160, 0, 105, 1, 450, 407, 4515
1161, 0, 105, 0, 450, 408, 4410
1162, 0, 105, 0, 450, 408, 4410
1163, 0, 105, 1, 450, 410, 4200
1164, 0, 105, 0, 450, 410, 4200
1165, 0, 105, 1, 450, 412, 3990
1166, 0, 105, 0, 450, 412, 3990
1167, 0, 105, 1, 450, 413, 3885
1168, 0, 105, 0, 450, 414, 3780
1169, 0, 105, 1, 450, 415, 3675
1170, 0, 105, 0, 450, 416, 3570
1171, 0, 105, 0, 450, 416, 3570
1172, 0, 105, 1, 450, 418, 3360
1173, 0, 105, 0, 450, 418, 3360
1174, 0, 105, 1, 450, 420, 3150
1175, 0, 105, 0, 450, 420, 3150
1176, 0, 105, 1, 450, 422, 3045
1177, 0, 105, 0, 450, 422, 2940
1178, 0, 105, 1, 450, 423, 2835
1179, 0, 105, 0, 450, 424, 2730
1180, 0, 105, 1, 450, 425, 2625
1181, 0, 105, 0, 450, 426, 2520
1182, 0, 105, 0, 450, 427, 2520
1183, 0, 105, 1, 450, 428, 2310
1184, 0, 105, 0, 450, 428, 2310
1185, 0, 105, 1, 450, 430, 2100
1186, 0, 105, 0, 450, 430, 2100
1187, 0, 105, 1, 450, 432, 1890
1188, 0, 105, 0, 450, 432, 1890
1189, 0, 105, 1, 450, 434, 1785
1190, 0, 105, 0, 450, 434, 1680
1191, 0, 105, 1, 450, 435, 1575
1192, 0, 105, 0, 450, 436, 1470
1193, 0, 105, 0, 450, 437, 1470
1194, 0, 105, 0, 450, 438, 1260
1195, 0, 105, 0, 450, 438, 1260
1196, 0, 105, 1, 450, 440, 1050
1197, 0, 105, 0, 450, 440, 1050
1198, 0, 105, 1, 450, 442, 840
1199, 0, 105, 0, 450, 442, 840
1200, 0, 105, 0, 450, 444, 735
1201, 0, 105, 0, 450, 444, 630
1202, 0, 105, 1, 450, 445, 525
1203, 0, 105, 0, 450, 446, 420
1204, 0, 105, 1, 450, 447, 315
1205, 0, 105, 0, 450, 448, 210
1206, 0, 105, 0, 450, 449, 210
1207, 0, 105, 0, 450, 450, 0
1208, 0, 105, 0, 450, 450, 0
1209, 0, 105, 0, 450, 450, 0
1210, 0, 105, 0, 450, 450, 0
1211, 0, 105, 0, 450, 450, 0
1212, 0, 105, 0, 450, 450, 0
1213, 0, 105, 0, 450, 450, 0
1214, 0, 105, 0, 450, 450, 0
1215, 0, 105, 0, 450, 450, 0
1216, 0, 105, 0, 450, 450, 0
1217, 0, 105, 0, 450, 450, 0
1218, 0, 105, 0, 450, 450, 0
1219, 0, 105, 0, 450, 450, 0
1220, 0, 105, 0, 450, 450, 0
1221, 0, 105, 0, 450, 450, 0
1222, 0, 105, 0, 450, 450, 0
1223, 0, 105, 0, 450, 450, 0
1224, 0, 105, 0, 450, 450, 0
1225, 0, 105, 0, 450, 450, 0
1226, 0, 105, 0, 450, 450, 0
