Ticks, Kd, Kp, V, Pr, Pm, T
5856, 0, 15, 0, 448, 448, 0
5857, 0, 15, 0, 448, 448, 0
5858, 0, 15, 0, 448, 448, 0
5859, 0, 15, 0, 448, 448, 0
5860, 0, 15, 0, 448, 448, 0
5861, 0, 15, 0, 448, 448, 0
5862, 0, 15, 0, 448, 448, 0
5863, 0, 15, 0, 448, 448, 0
5864, 0, 15, 0, 448, 448, 0
5865, 0, 15, 0, 448, 448, 0
5866, 0, 15, 0, 448, 448, 0
5867, 0, 15, 0, 448, 448, 0
5868, 0, 15, 0, 448, 448, 0
5869, 0, 15, 0, 448, 448, 0
5870, 0, 15, 0, 448, 448, 0
5871, 0, 15, 0, 448, 448, 0
5872, 0, 15, 0, 448, 448, 0
5873, 0, 15, 0, 448, 448, 0
5874, 0, 15, 0, 448, 448, 0
5875, 0, 15, 0, 448, 448, 0
5876, 0, 15, 0, 448, 448, 0
5877, 0, 15, 0, 448, 448, 0
5878, 0, 15, 0, 448, 448, 0
5879, 0, 15, 0, 448, 448, 0
5880, 0, 15, 0, 448, 448, 0
5881, 0, 15, 0, 448, 448, 0
5882, 0, 15, 0, 448, 448, 0
5883, 0, 15, 0, 448, 448, 0
5884, 0, 15, 0, 448, 448, 0
5885, 0, 15, 0, 448, 448, 0
5886, 0, 15, 0, 448, 448, 0
5887, 0, 15, 0, 448, 448, 0
5888, 0, 15, 0, 448, 448, 0
5889, 0, 15, 0, 448, 448, 0
5890, 0, 15, 0, 448, 448, 0
5891, 0, 15, 0, 448, 448, 0
5892, 0, 15, 0, 448, 448, 0
5893, 0, 15, -2, 432, 445, -210
5894, 0, 15, -4, 432, 438, -90
5895, 0, 15, -2, 432, 434, -30
5896, 0, 15, -1, 432, 432, 0
5897, 0, 15, 0, 432, 432, 0
5898, 0, 15, 0, 432, 432, 0
5899, 0, 15, 0, 432, 432, 0
5900, 0, 15, 0, 432, 432, 0
5901, 0, 15, 0, 432, 432, 0
5902, 0, 15, 0, 432, 432, 0
5903, 0, 15, 0, 432, 432, 0
5904, 0, 15, 0, 432, 432, 0
5905, 0, 15, 0, 432, 432, 0
5906, 0, 15, 0, 432, 432, 0
5907, 0, 15, 0, 432, 432, 0
5908, 0, 15, 0, 432, 432, 0
5909, 0, 15, 0, 432, 432, 0
5910, 0, 15, 0, 432, 432, 0
5911, 0, 15, 0, 432, 432, 0


