USB Serial Initialized
Ticks, Kd, Kp, V, Pr, Pm, T
1479, 0, 25, 2, 1206, 1110, 1250
1480, 0, 25, 0, 1206, 1113, 1250
1481, 0, 25, 2, 1206, 1116, 1250
1482, 0, 25, 1, 1206, 1118, 1250
1483, 0, 25, 0, 1206, 1121, 1250
1484, 0, 25, 2, 1206, 1124, 1250
1485, 0, 25, 2, 1206, 1126, 1250
1486, 0, 25, 0, 1206, 1128, 1250
1487, 0, 25, 2, 1206, 1132, 1250
1488, 0, 25, 2, 1206, 1134, 1250
1489, 0, 25, 0, 1206, 1136, 1250
1490, 0, 25, 1, 1206, 1140, 1250
1491, 0, 25, 2, 1206, 1142, 1250
1492, 0, 25, 1, 1206, 1144, 1250
1493, 0, 25, 0, 1206, 1147, 1250
1494, 0, 25, 2, 1206, 1150, 1250
1495, 0, 25, 2, 1206, 1152, 1250
1496, 0, 25, 0, 1206, 1155, 1250
1497, 0, 25, 2, 1206, 1158, 1200
1498, 0, 25, 2, 1206, 1160, 1150
1499, 0, 25, 0, 1206, 1163, 1100
1500, 0, 25, 1, 1206, 1166, 1025
1501, 0, 25, 2, 1206, 1168, 950
1502, 0, 25, 1, 1206, 1171, 900
1503, 0, 25, 1, 1206, 1174, 825
1504, 0, 25, 2, 1206, 1176, 750
1505, 0, 25, 1, 1206, 1178, 700
1506, 0, 25, 1, 1206, 1182, 625
1507, 0, 25, 2, 1206, 1184, 550
1508, 0, 25, 1, 1206, 1186, 500
1509, 0, 25, 1, 1206, 1190, 425
1510, 0, 25, 2, 1206, 1192, 350
1511, 0, 25, 1, 1206, 1194, 300
1512, 0, 25, 1, 1206, 1198, 225
1513, 0, 25, 2, 1206, 1200, 150
1514, 0, 25, 2, 1206, 1202, 100
1515, 0, 25, 0, 1206, 1204, 50
1516, 0, 25, 0, 1206, 1206, 0
1517, 0, 25, 0, 1206, 1206, 0
1518, 0, 25, 0, 1206, 1206, 0
1519, 0, 25, 0, 1206, 1206, 0
1520, 0, 25, 0, 1206, 1206, 0
