USB Serial Initialized
Ticks, Kd, Kp, V, Pr, Pm, T
246, 0, 25, 0, 1, 2, -25
247, 0, 25, -2, 1, 0, -25
248, 0, 25, 0, 1, 0, 25
249, 0, 25, 0, 1, 0, 25
250, 0, 25, 0, 1, 1, 25
251, 0, 25, 0, 1, 2, 25
252, 0, 25, 0, 1, 2, -25
253, 0, 25, 0, 1, 2, -25
254, 0, 25, 0, 1, 2, -25
255, 0, 25, -2, 1, 0, -25
256, 0, 25, 0, 1, 0, 25
257, 0, 25, 0, 1, 0, 25
258, 0, 25, 0, 1, 0, 25
259, 0, 25, 0, 1, 2, 25
260, 0, 25, 0, 1, 2, -25
261, 0, 25, 0, 1, 2, -25
262, 0, 25, 0, 1, 2, -25
263, 0, 25, -1, 1, 0, -25
264, 0, 25, 0, 1, 0, 25
265, 0, 25, 0, 1, 0, 25
266, 0, 25, 0, 1, 0, 25
267, 0, 25, 0, 1, 2, 25
268, 0, 25, 0, 1, 2, -25
269, 0, 25, 0, 1, 2, -25
270, 0, 25, 0, 1, 2, -25
271, 0, 25, -1, 1, 0, -25
272, 0, 25, 0, 1, 0, 25
273, 0, 25, 0, 1, 0, 25
274, 0, 25, 0, 1, 0, 25
275, 0, 25, 0, 1, 2, 25
276, 0, 25, 0, 1, 2, -25
277, 0, 25, 0, 1, 2, -25
278, 0, 25, 0, 1, 2, -25
279, 0, 25, -1, 1, 0, -25
280, 0, 25, 0, 1, 0, 25
281, 0, 25, 0, 1, 0, 25
282, 0, 25, 0, 1, 1, 25
283, 0, 25, 0, 1, 2, 25
284, 0, 25, 0, 1, 2, -25
285, 0, 25, 0, 1, 2, -25
286, 0, 25, 0, 1, 2, -25
287, 0, 25, -2, 1, 0, -25
288, 0, 25, 0, 1, 0, 25
289, 0, 25, 0, 1, 0, 25
290, 0, 25, 1, 1, 1, 0
291, 0, 25, 0, 1, 2, 0
292, 0, 25, 0, 1, 2, -25
293, 0, 25, -2, 1, 0, -25
294, 0, 25, 0, 1, 0, 25
295, 0, 25, 0, 1, 0, 25
296, 0, 25, 1, 1, 1, 0
297, 0, 25, 0, 1, 2, 0
298, 0, 25, 0, 1, 2, -25
299, 0, 25, -2, 1, 0, -25
300, 0, 25, 0, 1, 0, 25
